distance,led,tag,angle,relative_error
1,415,P1,0.0,0.004679774015031517
1,415,P1,5.0,0.006918128838528868
1,415,P1,10.0,0.006797841253259325
1,415,P1,15.0,0.0009647931952909047
1,415,P1,20.0,0.011375563496658095
1,415,P1,25.0,0.015636985472872424
1,415,P1,30.0,0.0018015748237685018
1,415,P1,35.0,0.005280746197565855
1,415,P1,40.0,0.012239717725619293
1,415,P1,45.0,0.01625406469621974
1,415,P1,50.0,0.02691705317674843
1,415,P1,55.0,0.03834903149155602
1,415,P1,60.0,0.06661924095378502
1,415,P1,65.0,0.12502505390741
1,415,P1,70.0,0.1930971538992539
1,415,P1,75.0,0.22077424246293634
1,415,P2,0.0,0.009403554540249425
1,415,P2,5.0,0.013741194324326992
1,415,P2,10.0,0.013503885238366006
1,415,P2,15.0,0.0019314498402447232
1,415,P2,20.0,0.022495231063975826
1,415,P2,25.0,0.030792469546768165
1,415,P2,30.0,0.003596669977456084
1,415,P2,35.0,0.010506012807944578
1,415,P2,40.0,0.024183437008617678
1,415,P2,45.0,0.031988191262149454
1,415,P2,50.0,0.05242303279214429
1,415,P2,55.0,0.07386539656413765
1,415,P2,60.0,0.12491663078234602
1,415,P2,65.0,0.22226181270039438
1,415,P2,70.0,0.32369057837105375
1,415,P2,75.0,0.3616954466822955
1,465,N2,0.0,0.008901883912353874
1,465,N2,5.0,0.014032287785283567
1,465,N2,10.0,0.013082774024833953
1,465,N2,15.0,0.0023781308802064117
1,465,N2,20.0,0.0228383346434283
1,465,N2,25.0,0.032520337458992264
1,465,N2,30.0,0.0031912790396256187
1,465,N2,35.0,0.009705545650040193
1,465,N2,40.0,0.024308556686952292
1,465,N2,45.0,0.03240920756693339
1,465,N2,50.0,0.057422094357636386
1,465,N2,55.0,0.08571262526744246
1,465,N2,60.0,0.16667489225637502
1,465,N2,65.0,0.4020106498047094
1,465,N2,70.0,0.9262491366966763
1,465,N2,75.0,1.316227538839892
1,465,N1,0.0,0.004470841411796008
1,465,N1,5.0,0.006967260589806279
1,465,N1,10.0,0.006498875353583839
1,465,N1,15.0,0.001190480999917307
1,465,N1,20.0,0.011290242157415887
1,465,N1,25.0,0.01600000593334697
1,465,N1,30.0,0.0015930975104662586
