distance,led,tag,angle,relative_error
1,480,N1,-2,0.01803824400576886
1,480,N1,3,0.0016506434546650003
1,480,N1,8,0.007017043500967959
1,480,N1,13,0.011009450380695987
1,480,N1,18,0.01329536071575406
1,480,N1,23,0.0032568254882682857
1,480,N1,28,0.017479505278389495
1,480,N1,33,0.004299052553221508
1,480,N1,38,0.006993695442070467
1,480,N1,43,0.001034125401244153
1,480,N1,48,0.006711391725745468
1,480,N1,53,0.0018293122806179332
1,480,N1,58,0.0032486580956026033
1,480,N1,63,0.00599867971542251
1,480,N1,68,0.008853221826185297
1,480,N1,73,0.127330949149899
1,480,N2,-2,0.028632986417687002
1,480,N2,3,0.0015652129850060668
1,480,N2,8,0.025294965225081997
1,480,N2,13,0.022248105450861755
1,480,N2,18,0.017336301532511856
1,480,N2,23,0.003806470807254602
1,480,N2,28,0.021591840671520778
1,480,N2,33,0.002681795247167477
1,480,N2,38,0.013242857482233144
1,480,N2,43,0.01862409949321112
1,480,N2,48,0.002702043844937648
1,480,N2,53,0.012887312305074521
1,480,N2,58,0.00456244444105066
1,480,N2,63,0.008482358875698145
1,480,N2,68,0.030174394868978518
1,480,N2,73,0.1932881129555875
1,480,N3,-2,0.0467038534516359
1,480,N3,3,0.009780911522283095
1,480,N3,8,0.029371794244934538
1,480,N3,13,0.027430896456230557
1,480,N3,18,0.010722971798929778
1,480,N3,23,0.007110566745259965
1,480,N3,28,0.040253738680144105
1,480,N3,33,0.01800252664936389
1,480,N3,38,0.003265994502318458
1,480,N3,43,0.01821381685185908
1,480,N3,48,0.0020038360794509325
1,480,N3,53,0.006121630977971953
1,480,N3,58,0.009030209068024174
1,480,N3,63,0.0014621725860910514
1,480,N3,68,0.07383321926324778
1,480,N3,73,0.2515120465931438
1,480,P1,-2,0.011387319098138487
1,480,P1,3,0.024697547657112937
1,480,P1,8,0.001544246664153066
1,480,P1,13,0.0015472142879931535
1,480,P1,18,0.026497961964633554
1,480,P1,23,0.011497660382423934
1,480,P1,28,0.005970859778283352
1,480,P1,33,0.006126003752032801
1,480,P1,38,0.009134227194436068
1,480,P1,43,6.12476205245966e-05
1,480,P1,48,0.004996461747554529
1,480,P1,53,0.0009808658943025366
1,480,P1,58,0.007220089994063065
1,480,P1,63,0.012265169275905083
1,480,P1,68,0.02495244212731044
1,480,P1,73,0.04983018454483287
