distance,led,tag,angle,relative_error
1,365,P2,33,0.010443678221647575
1,365,P2,38,0.015152743127974672
1,365,P2,43,0.0190572903191017
1,365,P2,48,0.014292152014536383
1,365,P2,53,0.0022310719201560627
1,365,P2,58,0.03029047371891621
1,365,P2,63,0.027131297902468807
1,365,P2,68,0.006046453730893991
1,365,P2,73,0.10127241361122984
1,365,P3,-2,0.01182083696369368
1,365,P3,3,0.03602002495357627
1,365,P3,8,0.015503709679748423
1,365,P3,13,0.005789967189793475
1,365,P3,18,0.021948282861557034
1,365,P3,23,0.02711387432081215
1,365,P3,28,0.029273062203349236
1,365,P3,33,0.020341880359522047
1,365,P3,38,0.012327414001047277
1,365,P3,43,0.0086744163383425
1,365,P3,48,0.012601848711696137
1,365,P3,53,0.00045463987280381827
1,365,P3,58,0.03693179853598232
1,365,P3,63,0.028387548044860187
1,365,P3,68,0.005995701716030926
1,365,P3,73,0.1475309725156949
1,415,N1,-2,0.0022683358469229083
1,415,N1,3,0.018306656619283355
1,415,N1,8,0.009192925840472538
1,415,N1,13,0.004970882885963213
1,415,N1,18,0.02612826842239255
1,415,N1,23,0.015389890263201575
1,415,N1,28,0.009880346403107079
1,415,N1,33,0.016099694669478408
1,415,N1,38,0.029704695744654615
1,415,N1,43,0.009052339619374235
1,415,N1,48,0.00295452852199236
1,415,N1,53,2.483134087415768e-05
1,415,N1,58,0.004810325743267194
1,415,N1,63,0.011416672657144142
1,415,N1,68,0.02592346728264873
1,415,N1,73,0.04942824114588571
1,415,N2,-2,0.0029380066545780397
1,415,N2,3,0.02765473369610034
1,415,N2,8,0.011201312817622676
1,415,N2,13,0.01823177535276093
1,415,N2,18,0.02054092345957622
1,415,N2,23,0.031591050248477
1,415,N2,28,0.031901106687846445
1,415,N2,33,0.013653119297367863
1,415,N2,38,0.010126429521802245
1,415,N2,43,0.009515666635892274
1,415,N2,48,0.009710101936043046
1,415,N2,53,0.014232404229350095
1,415,N2,58,0.014019122487844773
1,415,N2,63,0.008740796699546758
1,415,N2,68,0.03720058243977269
1,415,N2,73,0.017270692526512022
1,415,N3,-2,0.009572181897928961
1,415,N3,3,0.05313754676602392
1,415,N3,8,0.025809902553209276
1,415,N3,13,0.0041713056449678544
1,415,N3,18,0.026606697676939416
1,415,N3,23,0.006903670577078351
1,415,N3,28,0.03694942396047058
1,415,N3,33,0.014451843258503828
1,415,N3,38,0.013157850359630454
1,415,N3,43,0.014900807519749197
1,415,N3,48,0.01142326075586311
1,415,N3,53,0.012194052481529147
1,415,N3,58,0.0028410456282656057
1,415,N3,63,0.008329920252316197
1,415,N3,68,0.06100918941303212
1,415,N3,73,0.08424812913768687
1,415,P1,-2,0.005799650764068449
1,415,P1,3,0.028679286407433037
1,415,P1,8,0.0011038391745720492
1,415,P1,13,0.002940961670070988
1,415,P1,18,0.0054841110774080035
1,415,P1,23,0.0016661589153005878
1,415,P1,28,0.004625709780628009
1,415,P1,33,0.002883812677883534
1,415,P1,38,0.003141448733313481
1,415,P1,43,0.007819895942023066
1,415,P1,48,0.017282524985867652
1,415,P1,53,0.019513414190780242
1,415,P1,58,0.02341409208246699
1,415,P1,63,0.03219705459867942
1,415,P1,68,0.011330775067806095
1,415,P1,73,0.08021687015610836
1,415,P2,-2,0.018282773999469554
1,415,P2,3,0.034073326470853066
1,415,P2,8,0.0042897460325097255
1,415,P2,13,0.01924409805605346
1,415,P2,18,0.018887371761487987
1,415,P2,23,0.003082504426394574
1,415,P2,28,0.01639118997348111
1,415,P2,33,0.011654030982656268
1,415,P2,38,0.015345111079589637
1,415,P2,43,0.019154937563204067
1,415,P2,48,0.014952511525682471
1,415,P2,53,0.002193858840085556
1,415,P2,58,0.031418513493916125
1,415,P2,63,0.02881899374394762
1,415,P2,68,0.007523772250493453
1,415,P2,73,0.09943449774342206
1,415,P3,-2,0.012488286959550562
1,415,P3,3,0.0358540647021456
1,415,P3,8,0.01499218396823986
1,415,P3,13,0.005995070906707719
1,415,P3,18,0.02154788782247473
1,415,P3,23,0.02718794504687215
1,415,P3,28,0.030650318166059943
1,415,P3,33,0.021764838917367215
1,415,P3,38,0.012130890362846702
1,415,P3,43,0.00924305400271738
1,415,P3,48,0.012924427835066664
1,415,P3,53,0.002120126876531337
1,415,P3,58,0.03767287455074452
1,415,P3,63,0.028369112815702223
1,415,P3,68,0.006790828464435401
1,415,P3,73,0.15064503310456417
1,465,N1,-2,0.0023860297339763493
1,465,N1,3,0.018315236190604045
1,465,N1,8,0.009017427043438195
1,465,N1,13,0.005164610478151973
1,465,N1,18,0.02606181214032822
1,465,N1,23,0.015393927941057031
1,465,N1,28,0.009845818467939178
1,465,N1,33,0.015993731492142962
1,465,N1,38,0.029638669401176092
1,465,N1,43,0.009483977077639292
1,465,N1,48,0.0032544562792236574
1,465,N1,53,8.09971960203852e-06
1,465,N1,58,0.004878684449654746
1,465,N1,63,0.011215092078862503
1,465,N1,68,0.025213469110725747
1,465,N1,73,0.048516605549695474
1,465,N2,-2,0.0029117716110796435
1,465,N2,3,0.02776054722838976
1,465,N2,8,0.011013328019991733
1,465,N2,13,0.018661164006507684
1,465,N2,18,0.02057349666875218
1,465,N2,23,0.03173457043205617
1,465,N2,28,0.0321862951641896
